| time |   in   |load |  out   |
| 0+   |      0 |  0  |      0 |
| 1    |      0 |  0  |      0 |
| 1+   |      0 |  1  |      0 |
| 2    |      0 |  1  |      0 |
| 2+   |     -8 |  0  |      0 |
| 3    |     -8 |  0  |      0 |
| 3+   |     11 |  0  |      0 |
| 4    |     11 |  0  |      0 |
| 4+   |     -8 |  1  |      0 |
| 5    |     -8 |  1  |      8 |
| 5+   |     -8 |  1  |      8 |
| 6    |     -8 |  1  |      8 |
| 6+   |     -8 |  0  |      8 |
| 7    |     -8 |  0  |      8 |
| 7+   |     10 |  1  |      8 |
| 8    |     10 |  1  |     10 |
| 8+   |      0 |  0  |     10 |
| 9    |      0 |  0  |     10 |
| 9+   |      0 |  1  |     10 |
| 10   |      0 |  1  |      0 |
| 10+  |      1 |  0  |      0 |
| 11   |      1 |  0  |      0 |
| 11+  |      1 |  1  |      0 |
| 12   |      1 |  1  |      1 |
| 12+  |      2 |  0  |      1 |
| 13   |      2 |  0  |      1 |
| 13+  |      2 |  1  |      1 |
| 14   |      2 |  1  |      2 |
| 14+  |      4 |  0  |      2 |
| 15   |      4 |  0  |      2 |
| 15+  |      4 |  1  |      2 |
| 16   |      4 |  1  |      4 |
| 16+  |      8 |  0  |      4 |
| 17   |      8 |  0  |      4 |
| 17+  |      8 |  1  |      4 |
| 18   |      8 |  1  |      8 |
| 18+  |     14 |  0  |      8 |
| 19   |     14 |  0  |      8 |
| 19+  |     14 |  1  |      8 |
| 20   |     14 |  1  |     14 |
| 20+  |     13 |  0  |     14 |
| 21   |     13 |  0  |     14 |
| 21+  |     13 |  1  |     14 |
| 22   |     13 |  1  |     13 |
| 22+  |     11 |  0  |     13 |
| 23   |     11 |  0  |     13 |
| 23+  |     11 |  1  |     13 |
| 24   |     11 |  1  |     11 |
| 24+  |      7 |  0  |     11 |
| 25   |      7 |  0  |     11 |
| 25+  |      7 |  1  |     11 |
| 26   |      7 |  1  |      7 |
| 26+  |     15 |  0  |      7 |
| 27   |     15 |  0  |      7 |
| 27+  |     15 |  1  |      7 |
| 28   |     15 |  1  |     15 |
