| time |  in  |loadL|loadH|   out    |
| 0+   | 0000 |  1  |  1  | 00000000 |
| 1    | 0000 |  1  |  1  | 00000000 |
| 1+   | 0000 |  0  |  0  | 00000000 |
| 2    | 0000 |  0  |  0  | 00000000 |
| 2+   | 0000 |  0  |  0  | 00000000 |
| 3    | 0000 |  0  |  0  | 00000000 |
| 3+   | 0000 |  1  |  0  | 00000000 |
| 4    | 0000 |  1  |  0  | 00000000 |
| 4+   | 1000 |  0  |  0  | 00000000 |
| 5    | 1000 |  0  |  0  | 00000000 |
| 5+   | 1011 |  0  |  0  | 00000000 |
| 6    | 1011 |  0  |  0  | 00000000 |
| 6+   | 1000 |  1  |  0  | 00000000 |
| 7    | 1000 |  1  |  0  | 00001000 |
| 7+   | 1000 |  1  |  0  | 00001000 |
| 8    | 1000 |  1  |  0  | 00001000 |
| 8+   | 1000 |  0  |  0  | 00001000 |
| 9    | 1000 |  0  |  0  | 00001000 |
| 9+   | 1010 |  1  |  0  | 00001000 |
| 10   | 1010 |  1  |  0  | 00001010 |
| 10+  | 0000 |  0  |  0  | 00001010 |
| 11   | 0000 |  0  |  0  | 00001010 |
| 11+  | 0000 |  1  |  0  | 00001010 |
| 12   | 0000 |  1  |  0  | 00000000 |
| 12+  | 0001 |  0  |  0  | 00000000 |
| 13   | 0001 |  0  |  0  | 00000000 |
| 13+  | 0001 |  1  |  0  | 00000000 |
| 14   | 0001 |  1  |  0  | 00000001 |
| 14+  | 0010 |  0  |  0  | 00000001 |
| 15   | 0010 |  0  |  0  | 00000001 |
| 15+  | 0010 |  1  |  0  | 00000001 |
| 16   | 0010 |  1  |  0  | 00000010 |
| 16+  | 0100 |  0  |  0  | 00000010 |
| 17   | 0100 |  0  |  0  | 00000010 |
| 17+  | 0100 |  1  |  0  | 00000010 |
| 18   | 0100 |  1  |  0  | 00000100 |
| 18+  | 1000 |  0  |  0  | 00000100 |
| 19   | 1000 |  0  |  0  | 00000100 |
| 19+  | 1000 |  1  |  0  | 00000100 |
